position,pfr_name,feature_coverage,mean_5nn_distance,neighbor_density_percentile,model_confidence_score,model_confidence,out_of_distribution_flag,nearest5_historical_hit_rate,nearest5_historical_star_rate,nearest5_historical_primary_ppg_mean,closest_historical_comps,closest_comp_1,closest_comp_2,closest_comp_3,similarity_feature_count,historical_reference_n
WR,Lewis Bond,0.9847328244274809,0.6814178753322603,41.979522184300336,58.92765026183466,Medium,0,0.0,0.0,2.998933823529412,Jordan Payton (2016); Ryan Switzer (2017); Ty Montgomery (2015); Keenan Burton (2008); Shi Smith (2021),Jordan Payton (2016),Ryan Switzer (2017),Ty Montgomery (2015),131,586
WR,Anthony Smith,0.9847328244274809,0.7481416936836313,27.474402730375424,48.77406664408722,Medium,0,0.0,0.0,2.541286764705883,Devin Lucien (2016); Malcolm Mitchell (2016); Keshawn Martin (2012); Jauan Jennings (2020); Junior Hemingway (2012),Devin Lucien (2016),Malcolm Mitchell (2016),Keshawn Martin (2012),131,586
WR,Deion Burks,0.9694656488549618,0.5509866215000236,78.32764505119454,83.91332100148503,High,0,0.0,0.0,2.0768750000000002,Olabisi Johnson (2019); Isaiah Coulter (2020); Marc Mariani (2010); David Moore (2017); Tre McBride (2015),Olabisi Johnson (2019),Isaiah Coulter (2020),Marc Mariani (2010),131,586
TE,Kenyon Sadiq,0.9935691318327974,1.0664136483330462,10.37037037037037,37.06633321424318,Medium,0,0.4,0.2,6.83625,O.J. Howard (2017); Travis Kelce (2013); Cameron Latu (2023); Evan Engram (2017); Fred Davis (2008),O.J. Howard (2017),Travis Kelce (2013),Cameron Latu (2023),311,270
TE,Eli Stowers,0.9903536977491961,1.0772164820385126,9.62962962962963,36.45135167321662,Low,1,0.2,0.0,4.399595588235294,Charlie Kolar (2022); Hunter Henry (2016); Jake Butt (2017); Mike Gesicki (2018); Greg Dulcich (2022),Charlie Kolar (2022),Hunter Henry (2016),Jake Butt (2017),311,270
TE,Nate Boerkircher,0.9742765273311897,0.7350948414793217,72.96296296296296,80.30236989400976,High,0,0.0,0.0,1.0129779411764706,Brad Smelley (2012); Drew Sample (2019); Mickey Shuler (2010); Michael Williams (2013); Ben Koyack (2015),Brad Smelley (2012),Drew Sample (2019),Mickey Shuler (2010),311,270
TE,Marlin Klein,0.9935691318327974,0.8065432052973878,56.2962962962963,69.21448136239133,Medium,0,0.2,0.0,2.4532720588235297,Dalton Schultz (2018); Drew Sample (2019); Charlie Woerner (2020); Brad Smelley (2012); Tommy Tremble (2021),Dalton Schultz (2018),Drew Sample (2019),Charlie Woerner (2020),311,270
TE,Max Klare,0.9710610932475884,0.940210568299247,25.185185185185183,46.761462427057275,Medium,0,0.4,0.0,5.521544117647059,Hunter Henry (2016); Tucker Kraft (2023); Dallas Goedert (2018); Scott Chandler (2007); Adam Trautman (2020),Hunter Henry (2016),Tucker Kraft (2023),Dallas Goedert (2018),311,270
TE,Sam Roush,1.0,0.7813024940165587,64.07407407407408,74.85185185185185,High,0,0.4,0.0,4.418933823529412,Josh Oliver (2019); Tucker Kraft (2023); Dallas Goedert (2018); Adam Shaheen (2017); Adam Trautman (2020),Josh Oliver (2019),Tucker Kraft (2023),Dallas Goedert (2018),311,270
TE,Oscar Delp,0.9581993569131833,0.7109785589792488,75.55555555555556,81.63486959628437,High,0,0.0,0.0,3.023602941176471,Drew Sample (2019); Randall Telfer (2015); Ben Koyack (2015); O.J. Howard (2017); Nick Vannett (2016),Drew Sample (2019),Randall Telfer (2015),Ben Koyack (2015),311,270
TE,Will Kacmarek,0.954983922829582,0.7788992456329241,64.81481481481481,74.01988805525782,High,0,0.0,0.0,1.4331985294117646,Mickey Shuler (2010); Darnell Washington (2023); Drew Sample (2019); Randall Telfer (2015); Michael Williams (2013),Mickey Shuler (2010),Darnell Washington (2023),Drew Sample (2019),311,270
TE,Eli Raridon,0.9935691318327974,0.8955239803462802,32.592592592592595,52.62188876979874,Medium,0,0.2,0.0,3.8205147058823528,Dalton Schultz (2018); Darnell Washington (2023); O.J. Howard (2017); Tommy Tremble (2021); Cameron Latu (2023),Dalton Schultz (2018),Darnell Washington (2023),O.J. Howard (2017),311,270
TE,Matthew Hibner,0.9935691318327974,0.8500757326204956,42.592592592592595,59.62188876979873,Medium,0,0.0,0.0,3.8409191176470587,Chigoziem Okonkwo (2022); Clay Harbor (2010); Christopher Herndon IV (2018); Seth Devalve (2016); Eric Saubert (2017),Chigoziem Okonkwo (2022),Clay Harbor (2010),Christopher Herndon IV (2018),311,270
TE,Justin Joly,0.9710610932475884,0.7911342840505609,61.111111111111114,71.90961057520542,High,0,0.0,0.0,2.030294117647059,Chigoziem Okonkwo (2022); Rory 'Busta' Anderson (2015); Aliz̩ Mack (2019); Seth Devalve (2016); Temarrick Hemingway (2016),Chigoziem Okonkwo (2022),Rory 'Busta' Anderson (2015),Aliz̩ Mack (2019),311,270
TE,Max Bredeson,0.954983922829582,0.7785022640986963,64.81481481481481,74.01988805525782,High,0,0.0,0.0,1.4017279411764707,Charlie Woerner (2020); Nick Vannett (2016); Brad Smelley (2012); Michael Williams (2013); Drew Sample (2019),Charlie Woerner (2020),Nick Vannett (2016),Brad Smelley (2012),311,270
TE,Tanner Koziol,0.9903536977491961,1.0232870301620896,14.444444444444443,39.821722043586995,Medium,0,0.0,0.0,2.917463235294117,Jonnu Smith (2017); Michael Mayer (2023); Shawn Nelson (2009); Bucky Hodges (2017); Harrison Bryant (2020),Jonnu Smith (2017),Michael Mayer (2023),Shawn Nelson (2009),311,270
TE,Riley Nowakowski,0.9903536977491961,0.8202714933055344,51.11111111111111,65.48838871025366,Medium,0,0.0,0.0,1.0336764705882353,Brad Smelley (2012); Stephen Sullivan (2020); Michael Williams (2013); Andrew Quarless (2010); Drew Sample (2019),Brad Smelley (2012),Stephen Sullivan (2020),Michael Williams (2013),311,270
TE,Joe Royer,0.9581993569131833,0.9959297000983298,17.037037037037038,40.67190663332142,Medium,0,0.0,0.0,3.030661764705882,Grant Calcaterra (2022); Jeremy Ruckert (2022); Nick O'Leary (2015); O.J. Howard (2017); Ben Koyack (2015),Grant Calcaterra (2022),Jeremy Ruckert (2022),Nick O'Leary (2015),311,270
TE,Josh Cuevas,0.9967845659163987,1.0562713921442741,11.11111111111111,37.68131475526974,Medium,0,0.0,0.0,1.4777573529411763,Chris Gragg (2013); Luke Schoonmaker (2023); Jerell Adams (2016); Ben Koyack (2015); Randall Telfer (2015),Chris Gragg (2013),Luke Schoonmaker (2023),Jerell Adams (2016),311,270
TE,Seydou Traore,0.954983922829582,0.9062138070347956,30.74074074074074,50.168036203405975,Medium,0,0.0,0.0,1.597169117647059,Josiah Deguara (2020); James O'Shaughnessy (2015); Seth Devalve (2016); Matt Sherry (2008); Eric Saubert (2017),Josiah Deguara (2020),James O'Shaughnessy (2015),Seth Devalve (2016),311,270
TE,Bauer Sharp,0.9935691318327974,1.0656635338449596,10.37037037037037,37.06633321424318,Medium,0,0.0,0.0,1.3374264705882353,Tim Massaquoi (2006); Tom Santi (2008); Tommy Sweeney (2019); Noah Gray (2021); Anthony Hill (2009),Tim Massaquoi (2006),Tom Santi (2008),Tommy Sweeney (2019),311,270
TE,Jack Endries,0.9903536977491961,0.6513837558251754,83.7037037037037,88.30320352506847,High,0,0.0,0.0,1.4221691176470588,Aliz̩ Mack (2019); Rory 'Busta' Anderson (2015); Eric Saubert (2017); Matt Sherry (2008); Chigoziem Okonkwo (2022),Aliz̩ Mack (2019),Rory 'Busta' Anderson (2015),Eric Saubert (2017),311,270
TE,Jaren Kanak,0.6913183279742765,0.8149429416091823,52.96296296296297,57.813623913302365,Low,1,0.0,0.0,1.9715441176470587,Ryan Taylor (2011); A.J. Derby (2015); Chigoziem Okonkwo (2022); Aliz̩ Mack (2019); Rory 'Busta' Anderson (2015),Ryan Taylor (2011),A.J. Derby (2015),Chigoziem Okonkwo (2022),311,270
TE,Carsen Ryan,0.954983922829582,0.7774271319157704,65.18518518518519,74.27914731451709,High,0,0.0,0.0,0.634375,Ben Koyack (2015); Matt Sherry (2008); John Nalbone (2009); James O'Shaughnessy (2015); Aliz̩ Mack (2019),Ben Koyack (2015),Matt Sherry (2008),John Nalbone (2009),311,270
TE,Dallen Bentley,0.9967845659163987,0.857123614978959,40.74074074074074,58.42205549601047,Medium,0,0.0,0.0,0.3968750000000001,Matt Sherry (2008); Aliz̩ Mack (2019); Eric Saubert (2017); John Nalbone (2009); James O'Shaughnessy (2015),Matt Sherry (2008),Aliz̩ Mack (2019),Eric Saubert (2017),311,270
