college_season,source_date,metric,rank,teamrankings_team,team_key,value,source_url
2004,2005-01-05,plays_pg,54,West Virginia,westvirginia,72.3,https://www.teamrankings.com/college-football/stat/plays-per-game?date=2005-01-05
2004,2005-01-05,plays_pg,55,California,california,72.0,https://www.teamrankings.com/college-football/stat/plays-per-game?date=2005-01-05
2004,2005-01-05,plays_pg,56,Georgia,georgia,71.9,https://www.teamrankings.com/college-football/stat/plays-per-game?date=2005-01-05
2004,2005-01-05,plays_pg,56,UNLV,unlv,71.9,https://www.teamrankings.com/college-football/stat/plays-per-game?date=2005-01-05
2004,2005-01-05,plays_pg,58,Marshall,marshall,71.8,https://www.teamrankings.com/college-football/stat/plays-per-game?date=2005-01-05
2004,2005-01-05,plays_pg,59,Indiana,indiana,71.8,https://www.teamrankings.com/college-football/stat/plays-per-game?date=2005-01-05
2004,2005-01-05,plays_pg,60,Middle Tenn,middletenn,71.8,https://www.teamrankings.com/college-football/stat/plays-per-game?date=2005-01-05
2004,2005-01-05,plays_pg,61,Maryland,maryland,71.5,https://www.teamrankings.com/college-football/stat/plays-per-game?date=2005-01-05
2004,2005-01-05,plays_pg,62,Baylor,baylor,71.4,https://www.teamrankings.com/college-football/stat/plays-per-game?date=2005-01-05
2004,2005-01-05,plays_pg,63,UL Monroe,ulmonroe,71.3,https://www.teamrankings.com/college-football/stat/plays-per-game?date=2005-01-05
2004,2005-01-05,plays_pg,64,Minnesota,minnesota,71.3,https://www.teamrankings.com/college-football/stat/plays-per-game?date=2005-01-05
2004,2005-01-05,plays_pg,65,E Carolina,ecarolina,71.2,https://www.teamrankings.com/college-football/stat/plays-per-game?date=2005-01-05
2004,2005-01-05,plays_pg,65,SMU,smu,71.2,https://www.teamrankings.com/college-football/stat/plays-per-game?date=2005-01-05
2004,2005-01-05,plays_pg,67,LSU,lsu,71.2,https://www.teamrankings.com/college-football/stat/plays-per-game?date=2005-01-05
2004,2005-01-05,plays_pg,67,Miami OH,miamioh,71.2,https://www.teamrankings.com/college-football/stat/plays-per-game?date=2005-01-05
2004,2005-01-05,plays_pg,69,UTEP,utep,70.9,https://www.teamrankings.com/college-football/stat/plays-per-game?date=2005-01-05
2004,2005-01-05,plays_pg,70,Illinois,illinois,70.9,https://www.teamrankings.com/college-football/stat/plays-per-game?date=2005-01-05
2004,2005-01-05,plays_pg,71,Virginia,virginia,70.8,https://www.teamrankings.com/college-football/stat/plays-per-game?date=2005-01-05
2004,2005-01-05,plays_pg,72,Notre Dame,notredame,70.6,https://www.teamrankings.com/college-football/stat/plays-per-game?date=2005-01-05
