season,position,position_year_rank,position_2023_2026_rank,overall_percentile_rank_2023_2026,pfr_name,draft_team,draft_round,draft_pick,prospect_model_score,prospect_model_percentile,hit_probability,primary_ppg_realized,college_match,fuzzy_match,scout_boost
2026,WR,35,106,254,Malik Benson,LVR,6,195,1.274803914982659,8.571428571428571,0.026200497522950172,,1.0,0.0,-0.1747323631227724
2024,WR,31,107,255,Brenden Rice,LAC,7,225,1.2590855907362952,7.809523809523809,0.04119819402694702,,1.0,0.0,-1.8625817020135509
2026,WR,36,108,263,CJ Daniels,LAR,6,197,1.144071504976991,4.571428571428571,0.03694013133645058,,1.0,0.0,-0.6986523478991673
2025,WR,28,109,266,Konata Mumpfield,LAR,7,242,1.0961128677304262,4.190476190476191,0.07886412,,1.0,0.0,0.03959076191501332
2025,WR,29,110,267,Dominic Lovett,DET,7,244,1.0520804317977202,3.8095238095238098,0.029247127,,1.0,0.0,-0.5394973370770577
2024,WR,32,111,268,Jordan Whittington,LA,6,213,0.9786728396358543,3.428571428571429,0.023635845631361008,,1.0,0.0,-0.4616466350223307
2025,WR,30,112,270,Kaden Prather,BUF,7,240,0.8811553108743501,2.4761904761904763,0.020680664,,1.0,0.0,0.08567781341003133
2025,WR,31,113,271,Junior Bergen,SFO,7,252,0.8354259518390692,1.9047619047619049,0.028624894,,0.0,0.0,-0.2609929043729027
2024,WR,33,114,275,Tejhaun Palmer,ATL,6,191,0.7539581123699485,1.3333333333333335,0.04968897998332977,,1.0,0.0,1.1983895194817116
2024,WR,34,115,278,Casey Washington,ATL,6,187,0.722951338285314,0.19047619047619047,0.039102811366319656,,1.0,0.0,0.9813101570696556
2024,WR,35,116,279,Tahj Washington,ATL,7,241,0.58243775097539,0.0,0.02362827956676483,,1.0,0.0,0.0981505031635698
